2016/10/16;75 %; 
2016/10/17;1 %; 
2016/10/18;86 %; 
2016/10/19;60 %; 
2016/10/20;19 %; 
2016/10/21;100 %; 
2016/10/22;20 %; 
2016/10/23;33 %; 
2016/10/24;87 %; 
2016/10/25;0 %; 
2016/10/26;72 %; 
2016/10/27;74 %; 
2016/10/28;9 %; 
2016/10/29;98 %; 
2016/10/30;37 %; 
2016/10/31;20 %; 
2016/11/01;33 %; 
2016/11/02;99 %; 
2016/11/03;14 %; 
2016/11/04;65 %; 
2016/11/05;75 %; 
2016/11/06;0 %; 
2016/11/07;79 %; 
2016/11/08;42 %; 
2016/11/09;17 %; 
2016/11/10;99 %; 
2016/11/11;28 %; 
2016/11/12;51 %; 
2016/11/13;89 %; 
2016/11/14;3 %; 
2016/11/15;65 %; 
2016/11/16;56 %; 
2016/11/17;6 %; 
2016/11/18;94 %; 
2016/11/19;42 %; 
2016/11/20;36 %; 
2016/11/21;97 %; 
2016/11/22;11 %; 
2016/11/23;51 %; 
2016/11/24;71 %; 
2016/11/25;1 %; 
2016/11/26;83 %; 
2016/11/27;56 %; 
2016/11/28;22 %; 
2016/11/29;100 %; 
2016/11/30;24 %; 
2016/12/01;36 %; 
2016/12/02;98 %; 
2016/12/03;10 %; 
2016/12/04;72 %; 
2016/12/05;72 %; 
2016/12/06;0 %; 
2016/12/07;85 %; 
2016/12/08;34 %; 
2016/12/09;20 %; 
2016/12/10;100 %; 
2016/12/11;21 %; 
2016/12/12;58 %; 
2016/12/13;87 %; 
2016/12/14;1 %; 
2016/12/15;73 %; 
2016/12/16;50 %; 
2016/12/17;8 %; 
2016/12/18;96 %; 
2016/12/19;34 %; 
2016/12/20;42 %; 
2016/12/21;96 %; 
2016/12/22;8 %; 
2016/12/23;60 %; 
2016/12/24;66 %; 
2016/12/25;1 %; 
2016/12/26;86 %; 
2016/12/27;47 %; 
2016/12/28;26 %; 
2016/12/29;100 %; 
2016/12/30;20 %; 
2016/12/31;47 %; 
2017/01/01;4 %; 
2017/01/02;58 %; 
2017/01/03;85 %; 
2017/01/04;0 %; 
2017/01/05;92 %; 
2017/01/06;52 %; 
2017/01/07;10 %; 
2017/01/08;100 %; 
2017/01/09;13 %; 
2017/01/10;40 %; 
2017/01/11;94 %; 
2017/01/12;2 %; 
2017/01/13;81 %; 
2017/01/14;69 %; 
2017/01/15;3 %; 
2017/01/16;95 %; 
2017/01/17;26 %; 
2017/01/18;24 %; 
2017/01/19;99 %; 
2017/01/20;8 %; 
2017/01/21;66 %; 
2017/01/22;83 %; 
2017/01/23;0 %; 
2017/01/24;87 %; 
2017/01/25;43 %; 
2017/01/26;12 %; 
2017/01/27;100 %; 
2017/01/28;18 %; 
2017/01/29;48 %; 
2017/01/30;93 %; 
2017/01/31;2 %; 
2017/02/01;0 %; 
2017/02/02;70 %; 
2017/02/03;70 %; 
2017/02/04;4 %; 
2017/02/05;98 %; 
2017/02/06;39 %; 
2017/02/07;24 %; 
2017/02/08;98 %; 
2017/02/09;6 %; 
2017/02/10;53 %; 
2017/02/11;81 %; 
2017/02/12;0 %; 
2017/02/13;90 %; 
2017/02/14;55 %; 
2017/02/15;13 %; 
2017/02/16;100 %; 
2017/02/17;16 %; 
2017/02/18;37 %; 
2017/02/19;91 %; 
2017/02/20;1 %; 
2017/02/21;77 %; 
2017/02/22;70 %; 
2017/02/23;5 %; 
2017/02/24;96 %; 
2017/02/25;32 %; 
2017/02/26;24 %; 
2017/02/27;98 %; 
2017/02/28;8 %; 
2017/03/01;5 %; 
2017/03/02;54 %; 
2017/03/03;82 %; 
2017/03/04;2 %; 
2017/03/05;90 %; 
2017/03/06;55 %; 
2017/03/07;13 %; 
2017/03/08;99 %; 
2017/03/09;16 %; 
